dist,zvel,PIDx,PIDz,xvel,pitch,theta
4.1700000763,-0.5070464611,0,-0.5,0.0044246167,2.4359156579,32.9965779978
4.1700000763,-0.5084630847,0,-0.5,0.0043646377,2.4572050323,0
4.1399998665,-0.5100741982,0,-0.5,0.0052886885,2.4715299044,20.2695993806
4.1399998665,-0.510623157,0,-0.5,0.0055908868,2.45866972,0
4.0599999428,-0.5100557804,0,-0.5,0.0053652907,2.4225200142,48.041531562
4.0599999428,-0.505428791,0,-0.5,0.0046507549,2.3793039503,0
4,-0.5058777332,0,-0.5,0.0033077565,2.3594706927,43.2850369453
4,-0.5090723038,0,-0.5,0.0001959685,2.3661380909,0
3.9700000286,-0.5097324848,0,-0.5,-0.0013392629,2.3990237223,26.3518760912
3.9700000286,-0.5099053979,0,-0.5,-0.0011850654,2.4180304128,0
3.9100000858,-0.5065421462,0,-0.5,0.0008409219,2.4293535058,50.090011188
3.9100000858,-0.5080640912,0,-0.5,0.0032867789,2.4378939673,0
3.8599998951,-0.5098962188,0,-0.5,0.0034666397,2.4514800219,50.7378753578
3.8599998951,-0.5076072812,0,-0.5,0.0052498165,2.4741903911,0
3.8099999428,-0.5054405332,0,-0.5,0.004808988,2.4691630726,61.0930754935
3.8099999428,-0.5063394904,0,-0.5,0.0039901333,2.4573999829,0
3.7699999809,-0.5097811818,0,-0.5,0.0028658507,2.4662868483,65.808441544
3.7699999809,-0.5071365833,0,-0.5,0.0060413252,2.4882791679,0
3.75,-0.5055165887,0,-0.5,0.00601626,2.4972677615,67.8767311682
3.75,-0.5092704296,0,-0.5,0.0044813356,2.4776356613,0
3.6700000763,-0.5098959208,0,-0.5,0.0055158152,2.4573063851,88.8307377125
3.6700000763,-0.5077033639,0,-0.5,0.0030747091,2.4165386508,0
3.6500000954,-0.5074714422,0,-0.5,0.0020222655,2.3794625688,67.2652280756
3.6500000954,-0.5056943893,0,-0.5,0.0020774417,2.3563381855,0
3.5699999332,-0.5053345561,0,-0.5,0.0014826509,2.3608545245,78.3796833361
3.5699999332,-0.5063801408,0,-0.5,-0.0006792402,2.352760797,0
