dist,zvel,PIDx,PIDz,xvel,pitch,theta
0.8700000048,0.4845607281,0,0.5,0.0008708348,1.461674548,13.7626607479
0.8700000048,0.4833785594,0,0.5,0.0012380247,1.4484790477,0
0.9300000072,0.4837793708,0,0.5,0.0005706681,1.4406928506,13.8433483076
0.9300000072,0.4844300151,0,0.5,-0.0005191574,1.4632688051,0
1,0.4831618071,0,0.5,-1.89654238056997E-05,1.4999480194,16.0414563356
1,0.4814838171,0,0.5,-0.0008036614,1.5089931594,0
1.0399999619,0.4866451621,0,0.5,-0.0005690031,1.5237842904,9.3185277535
1.0399999619,0.4848956168,0,0.5,0.0008176665,1.5289125726,0
1.0700000525,0.4831020236,0,0.4882256861,0.0006273121,1.5181672531,7.0479459977
1.0700000525,0.4838261008,0,0.4914969097,0.0001186632,1.4998391127,0
1.1499999762,0.4857334495,0,0.3914371566,0.0007242628,1.515156703,18.30030116
1.1499999762,0.4833043516,0,0.4001796672,-0.0009145516,1.5174698923,0
1.1499999762,0.4738681316,0,0.4000224822,-0.0019695153,1.5115322615,0
1.1499999762,0.4578416944,0,0.4000028341,-0.0026361917,1.5045949851,0
1.1499999762,0.3946251869,0,0.4000003781,-0.0057924143,1.5145922207,0
1.2000000477,0.3810989261,0,0.3374999817,-0.007623909,1.5361525408,11.6900118032
1.2000000477,0.3793402314,0,0.3429687011,-0.0093433978,1.5581304609,0
1.2699999809,0.3873431385,0,0.2553711234,-0.010570433,1.5896327655,16.1078630737
1.2699999809,0.3776661158,0,0.2630151585,-0.0101149473,1.6366267501,0
1.3099999428,0.3367325664,0,0.2128769616,-0.0114971548,1.691140679,9.3817942924
1.3099999428,0.3008969724,0,0.2172346768,-0.0121957278,1.728682826,0
1.3500000238,0.2481922805,0,0.1671542905,-0.011886091,1.7716392776,9.3907335415
1.3500000238,0.2359556407,0,0.1715192637,-0.0113129849,1.8123561232,0
1.3600000143,0.2065157592,0,0.158939896,-0.0102426829,1.8199875732,2.3694308801
1.3600000143,0.1905213594,0,0.1600237226,-0.0093995593,1.8172450146,0
1.3999999762,0.1592796594,0,0.1100029987,-0.0079141473,1.8174754787,9.4020017168
1.3999999762,0.1525289863,0,0.1143753981,-0.0078968648,1.8398818722,0
0.3700000048,-0.2856846452,0,0.5,-0.001360903,1.6649660149,17.308825474
0.3700000048,-0.2536931932,0,0.5,0.0012363079,1.6540702492,0
0.3300000131,-0.250944227,0,0.5,0.0027395675,1.6518568292,14.4101043023
0.3300000131,-0.1685434729,0,0.5,0.0028846252,1.6873599968,0
0.3100000024,-0.036234051,0,0.5,0.0061368691,1.6735382328,7.5028295054
0.3100000024,0.1710389107,0,0.5,0.0120570753,1.556958105,0
0.2899999917,0.4852472544,0,0.5,0.0180909354,1.4315497941,7.7188111641
0.2899999917,0.5527215004,0,0.5,0.0182074104,1.3066611452,0
0.3300000131,0.5326758623,0,0.5,0.0153956003,1.2906409494,15.8619111575
0.3300000131,0.5083525777,0,0.5,0.0118708462,1.3068528547,0
0.3600000143,0.4929045737,0,0.5,0.0075569372,1.3913075973,12.5576363877
0.3600000143,0.4919638932,0,0.5,0.0063268351,1.4900967376,0
0.3600000143,0.4967796504,0,0.5,0.0073186066,1.58747011,0
0.3899999857,0.4974276721,0,0.5,0.0080470433,1.647496626,88.2272763238
0.3899999857,0.4944084585,0,0.5,0.0091105755,1.7012756405,0
0.4499999881,0.4936056733,0,0.5,0.0117015224,1.7058901635,25.3546896555
0.4499999881,0.4938410819,0,0.5,0.0144942049,1.7226339103,0
0.4799999893,0.490998894,0,0.5,0.0160366464,1.694712668,13.701372579
0.4799999893,0.4914738536,0,0.5,0.0158535615,1.6644691812,0
0.5299999714,0.494025141,0,0.5,0.016081078,1.6271772072,22.5520472074
0.5299999714,0.4960446954,0,0.5,0.0133046191,1.5617688182,0
0.5699999928,0.4951696992,0,0.5,0.0118963392,1.5039442728,18.6337026316
0.5699999928,0.497294873,0,0.5,0.0092310747,1.4507018969,0
0.5899999738,0.4962243438,0,0.5,0.0059772814,1.4292403362,9.6650293311
