dist,zvel,PIDx,PIDz,xvel,pitch,theta
1.6900000572,-0.3258143067,0.5,-0.2171654619,0.1688499898,6.10556348,0
1.6499999762,-0.2421893179,0.2,-0.1671456386,0.1372397691,5.7293642934,90
1.6499999762,-0.2039057165,0.5,-0.1715181823,0.120954141,5.9103669869,0
1.5700000525,-0.1800550669,0.2,-0.0714398443,0.097854957,6.8511838246,90
1.5700000525,-0.1788222045,0.5,-0.0801800318,0.089669399,7.4753371795,0
1.5199999809,-0.1679796576,0.2,-0.017522467,0.0862459391,8.8985258123,90
1.5199999809,-0.1569062471,0.5,-0.0229715404,0.0904007107,9.5934845206,0
1.5299999714,-0.0921169743,0.2,-0.0353714116,0.1126579791,10.3294856739,90
1.5299999714,-0.0706805065,0.5,-0.034265148,0.1241092905,10.5172717156,0
1.4900000095,-0.0364425331,0.2,0.0157168374,0.1429429799,10.6245686518,90
1.4900000095,-0.0292984601,0.5,0.0113395957,0.151132226,10.5932716536,0
1.4800000191,-0.0375965238,0.2,0.023917428,0.1651427448,10.460825309,90
1.4800000191,-0.032292366,0.5,0.0228334096,0.1712670326,10.3363095994,0
1.4500000477,-0.0004463696,0.2,0.0603541214,0.1851566136,10.082808459,90
1.4500000477,0.0076003796,0.5,0.0570754679,0.1878712177,9.7771318421,0
1.3899999857,0.0168108251,0.2,0.1321344633,0.1890751272,9.5926720809,90
1.3899999857,0.0273389556,0.5,0.1255793212,0.1896314174,9.3922637485,0
1.3500000238,0.0497865118,0.2,0.1756973818,0.1859384477,9.3056868651,90
1.3500000238,0.0632408485,0.5,0.1713371495,0.1851192415,9.2666881264,0
1.3099999428,0.1188432947,0.2,0.2214172212,0.1818178445,9.2100664306,90
1.3099999428,0.1424977332,0.5,0.2170522086,0.1808019429,9.1690053362,0
1.2799999714,0.1672509164,0.2,0.2546315475,0.1730951518,9.1678248745,90
1.2799999714,0.182864055,0.5,0.2513602225,0.17144382,9.2797386681,0
1.2599999905,0.1990483254,0.2,0.2764200326,0.1697217673,9.3032968387,90
1.2599999905,0.2094115615,0.5,0.2742400139,0.1664083153,9.3728841089,0
1.2599999905,0.2206431031,0.5,0.2742800113,0.1645911485,9.4964950473,0
1.2599999905,0.2463630289,0.5,0.2742850109,0.1595878899,9.6727311801,0
1.25,0.2544317842,0.2,0.286785624,0.1590925902,9.8534767001,90
1.25,0.2668890953,0.5,0.2856919531,0.1578596532,10.0435687864,0
1.2599999905,0.2699996829,0.2,0.2732115061,0.1568727493,10.5872435811,90
1.2599999905,0.2702422142,0.5,0.2743076976,0.1642741859,11.1380994356,0
